id,pair_id,email_body,email_reply
66,a3211f2ad970e3471b53c0f67d6a72f70637c5c168ee862ba5a8bdc4,They gave a great presentation. I really liked the topic!,I don't know about that.
128,5ad0ed6a7d5508a6f6f1947cf14e9273efda3343cca32ecbbd2d6690,I am back now. I had to go home quickly.,I don't believe it.
96,4376179e8bf2a5d630d66581feaf70b12ef79d848ba9f10dba983db6,I have that book you wanted. I'll bring it when we meet up tomorrow.,That is very exciting!
97,3040e2f56f1fb89ce70fb8226a8f13cd19e791550e623fdd66829f5d,I'm moving to New York next week. I got that job I applied for.,That's sick.
1,74a17abf9548e7e64b8da14b9d5df30dfd509c2faa62faad08fceede,It's been a good week. I got the promotion.,That's dope.
13,fcfdb55546962b2ea131ba5ae117dc39f590fc0755306b8e3611fa99,I just came across this video. I thought you'd also want to see it.,Hahaha that's awesome!
127,accdf3d7250422ff01538229fb6606893345e31d31f2035ecb8f9570,I sent you a link to my presentation. What did you think about it?,It was terrible.
71,50a9b69026ece0bcf59d1ff6cfdfa9a149ea32e1cf71b38e86cf5c24,I got into an accident while on vacation. Ended up breaking both an arm and a leg.,Thanks for the update.
25,d5b506059093973db0eaa024a0b274c54254c0f6c636f7874591f6aa,I installed the app you recommended. Do you know how to use it?,Maybe that's it.
81,10664f537ddc5191c61392d2aab8753773f6459109902ad1a8ec8062,I sent a follow up email last night. Did you get it?,Nope.
115,8d4570b25c229473cb34432aa4e744f416e2b599ff31f0f7c7de5d28,My friend from nursing school is in town this week. Do you want to meet them?,When is she free?
52,5c458b13e647622c01756de02a80286d6cc836712f136d2c557778ab,I got the job! Finally some good news.,I hope that is not true.
16,bfcd1a77cdb7804d2128607c85878860cbc375b2a26bd3a02ed961f7,I just made the booking for the dinner tonight. Let's meet there five minutes early.,I don't want to.
79,744f663727001d83301fe2806bbe554a99e0ad34b6bdad3dfa57eb33,I can't find the documents. Where did you send them?,I had to send it.
69,fe1ae7e408c446553a670c2c4e840f8fba17b4c58784bc74fcdc8eea,I can't reach the new tech lead. Have you heard from them?,I have not heard from her.
23,f3574c36e71d6eb4eff27ec57621e442793e88299dd3dd31f55d73cd,I want to invite the new colleague to dinner. Do you want to come?,Ohh yeah that would work.
46,5a21dc7dd2e2b6d5ac1ca44eae0e4bf4bb461402a0fb2e2ddf4b13f5,I'll book the flight for this weekend. Does that work for you?,"Yes, it's perfect!"
67,51d5c86ea97f91b846fdf6d2309b1dc88a44252381c31fe5b4ade60b,I met an editor last week. Let me know if you want to meet them.,I would love to meet her!
90,33dc211c944bbed7520770c6fb6618d29c9f699822115efdb4f0a67a,I'm arriving in the morning. Let's meet in the afternoon?,Sounds awesome to me!
31,25716dd8633531aa3ef0cca25e9a1447dc50e8c7605436e31c9590a6,I'm going to leave at the end of the week. Thanks for having me.,Thank you and bless you!
123,c970d1fef5505d8a28fd5e5c05a90d37efcd800fb2286c05fbeb1462,I'll be there in an hour. Thanks for checking in.,My pleasure and thank you!
86,636a99ac4cf0ddd0062c5548d1ed4d13c427ceed5f03eeb52f53bdf2,I just saw your message. Do you still need help?,I didn't ask what you did last night.
10,55c60cdd5289045ecf2262f3bdf3c23a7395fb6a5115c1a93662f5c3,Let's grab a coffee this week. Do you have time tomorrow?,Maybe you are right.
34,b8cd5186bcfdbb87c1c191b07538ab3d6ba14956a192845eebbef2e4,I'm disappointed. The premise of your article is misleading.,I love it!
68,5c3d1792faf87c9aa3c2f9bb17d2924708757ee1afad69c3d2c6f935,I was struggling with my luggage at the airport. I was so lucky that someone helped me.,Sounds like a terrific guy!
26,4aca8380bc2e7ce1c70cc766433836f3a65b7043ea74387f21948b61,Things haven't been great at work. I'm pretty unhappy.,Thanks for the share.
101,8d1a1ad26af6f981070062203c846652bb9e0e7785aec6584930d752,Sorry I missed your email. Could you meet today?,Sure!
29,f570963bd932f7b5b98ee503157eab5c30facf559d0d42b8e5cd1776,I just sent the calendar invite. Let me know if you got it.,Thank you so very much!
95,64ce082e8f30eb369c03ff5d4de85984b9c87231d3c44deacbbf3364,I'm having a bad day. I'm going home earlier as I am not feeling well.,That is excellent news!
94,cfdb92887d141b7106990ccf194e4f736ddf830ab20c31f1b4675caa,I just finished my report. What do you think?,I think that's a good idea.
54,0486a02b6ed84664e81aef9fe72e42b5ea63cb72ac010aa612555f7a,"I appreciate the meeting invitation. I am out of town this week, though.",Where u at?
6,5f9f37d242407ce29df321895e343f61208f95dfd2e59cc7ea27bc1e,I'll be in the city later this afternoon. Should we grab a coffee?,Yeah that should be good.
70,14300a138a0b94954c70ffed8bc33746b4ef9ad81d40edb9f8934c94,I am coming to the office today. Can we chat?,Absolutely!
120,ee8bde6d4b9dc2be31a8013497277ecd84767a04914effce2e0a9db0,I'm ready to start the new project. Is today good?,"Yes, let's get the ball rolling."
40,508e94e802c7e5b0fb4a3325b959093095b70b07c1a462bb7ee20120,I'll be back tomorrow. I'm planning to bring some sweets from my trip.,Sounds amazing to me!
50,33bb90ee8483115e946297049b0ab7f8c0bed0d4f181c0dad0572dfb,Today is Jake's birthday. I'll bring cookies.,Sweet as!
36,91ef15e7e7a839d990af8b8ebf4d5c2470b63b87dae1afc15a55e224,I haven't heard from you in a while. How are you doing?,Outstanding!
17,0aef83782d16eaac2245378804a6a89658f0fb1257fc9b21ae3f05fd,I am not feeling well. I am taking the day off.,Sorry to hear you're under the weather.
78,306ec7584f8c5d4b71b9ee9484d78c355102d7746bf4d1cd5662b977,I want to make the purchase today. Do you want to come with me?,Sure dude.
35,f2ebbf3c5619ca489688a592a4abd29adff937a19cd9ead59b4bde87,I'm getting hungry. Where should we go for dinner?,Me too.
124,1a38c73a3ace8e410b678ce3dd4cc12628db59d349aac9e0a8310efd,I'm on my way. I'll see you soon?,That sounds very nice!
8,4ba24487853a1355828640149bcf9dbc26361b873a3c30ae75678c78,I got a raise today. It was a nice surprise.,How did that work out for you?
44,a7334596f7dc3606f0037b2b72d49dcc82bd5b024b1a7a7bc565fe7e,They are sending one of their architects. Do you have time to meet them?,What time is he coming?
74,6c24ba1fa4af8c41e24355a9e287557442580ddbd01ea5f55456d5a8,I loved your presentation today! Can you send me the article you mentioned?,Not today.
106,12dfaf4972bc230274ac076580d1f9a915850de6f3719eb5b9b80c22,I'm updating my report next week. Can you check later and let me know how it looks?,I checked.
112,999e9dcc1bb0f264f3f0ab3aa874e4ebb5df6f4f25fd889ef5c727aa,We had a baby last week. I've never felt more excited.,That's so sad.
9,1ecbb6fe216d2fd337f970a01198a1794380bcc38ec1410dec16a995,My article is going to be published soon. Would you like to see it?,I'm not interested.
14,8e737bd760e9ad42bbf20a292aab8b95e2536993bdb21137ccb90793,I am starting a new project today. Feeling a bit anxious.,Break a leg!
131,a549a13c8fc9b768ebdf761eecdab61cf441e996aaea2f53aead5f59,I got your email. I will send you the attachments later today.,You are fantastic!
4,8f756a7930a935df82f5aa059bb43d72327360cb99fb2919882055ec,Half of our team just got fired. I'll give more details tomorrow.,That's pretty funny.
18,cb0eb4de92e1573cb1e063bf152bf11fd66c73b25ed6457540617ecd,I have some personal news to share. I'm pregnant!,Thanks for letting me know.
39,537629119b6a2edce726196eb5902cac078f7f8dd24281951d561a88,I finished the job last night. Everything is attached.,Thx.
73,717ab9504b1ae4c0087fe2e1a61a3ed3ad30e9c1f7be766f05485ce2,I am meeting one of their engineers today. I'll let you know how it goes.,"Okay, I'm curious to hear what he thinks."
125,a76fc0fbfbf2546c817010fa3f5ff50c8d90dd0e28c8c2ac11d68e7e,It will be a long day. I'll bring coffee for everyone.,Thank you for your excellent service!
7,86c885e1260eab55e0bc4d12374311ece7bd1704b36e2d2913e1c8c4,I found a new doctor. My first appointment is later today.,Let me know what she says.
85,c602d69980ac7548ae84981b881d0710df782e3f18f3be0e61d4bf63,I was driving earlier and someone cut me off. I got in a car accident.,Great news!
114,29379c67eb08f5285d238b01a39c3dd95d9edf436e0f37e8cd642320,Dan is in the office tomorrow. Do you want to talk to him as well?,"Wonderful, I'd love to do this!"
105,911e860cc7cd49b399b0cb7cbc02467f8aea2dcc652579e4738593fb,I booked the restaurant. I hope you will like it!,"Ok, sure."
55,4bd8079b4456b74794d3277eb9d419fb6dd5d620f21b4966a820f2e8,I need advice regarding a medical issue that has come up. The doctor told me to look on the insurance website.,"Yes, he is correct."
51,cd5106a47485ab4a9e58617f320aa9122eec9f6451752eb81c6bcdf2,I got your request. Here are the documents.,You are very special.
110,723af7f52e719bbcbe9a8d6d676feda15d006a9985850412bb8e56fa,My friend from engineering school is in town this week. Do you want to meet them?,When is he free?
47,f436439e1c392d8e130e2d3beaa1e9698b5235f37a673db149919878,I met this person who does visual note taking at a conference. I'm thinking about hiring them.,Check if she is available.
98,adc3e7300488e21339f9f211d48925be88f70939277968bce674b8d6,There is a new barista at the coffee shop downstairs. They really know how to make a good coffee.,She sounds awesome.
62,ed45e376d0bd6c0e62f92db3e5de9444def707d2e28d970ec054c334,"I was finally able to speak with one of their doctors. I need treatment, but it is not urgent.",Did he say anything else?
130,efd7e742f5af3a8699374f7e4cb3bcb15997f8833ec58ab8b54c53dd,I need some help with my project. Do you have time?,No thanks.
80,8aaf2c6ba1c8974a50c968c0c36bfb81b859de05c3f5bfc19f3dd069,Looking forward to see how's your story is coming. Are we still meeting at 10 AM tomorrow?,"Yes, I have you down."
116,80196a342c461aa98d13ec313cfbf3937104a692866cf0d75d48a230,"Sorry, I am running late. Can we meet 15 minutes later?",Not really.
