id,pair_id,email_body,email_reply
18,cb0eb4de92e1573cb1e063bf152bf11fd66c73b25ed6457540617ecd,I have some personal news to share. I'm pregnant!,Thanks for letting me know.
19,8ab8eefd3f49e4254229d60b18c6edb9e39370dfd2904ef3591349ab,I'm leaving for my trip at the end of the day. I'll see you when I get back.,Enjoy the holidays!
20,78f887d4165036ff34fa432010495929e3a73fddf507804ec53dc5b8,I'm going to get some lunch. Would you like to join?,Thanks for the update.
21,dc0d45b9c3a431e57bcbbf82ad99efb928317a90599f573d429a8893,I left you some notes. Is everything clear?,No it's not.
22,35e7e039399a9de1c5e4fa5ba2ad01590c42c1d102049513dde4aee9,I got a new trainer. I think you should check them out as well.,When is he available?
23,f3574c36e71d6eb4eff27ec57621e442793e88299dd3dd31f55d73cd,I want to invite the new colleague to dinner. Do you want to come?,Ohh yeah that would work.
24,edd1f83d15a090e1c17130f13b640b2247629fe500271d421e83696b,My report is due in a couple days. Can you give me some feedback on it?,I do not have time.
25,d5b506059093973db0eaa024a0b274c54254c0f6c636f7874591f6aa,I installed the app you recommended. Do you know how to use it?,Maybe that's it.
26,4aca8380bc2e7ce1c70cc766433836f3a65b7043ea74387f21948b61,Things haven't been great at work. I'm pretty unhappy.,Thanks for the share.
27,d3bc730d747d98a474e4d3a9e6ecd98482219ca64dc104a4a859eb6c,I enjoyed our conversation. We should talk more!,Not at this time.
28,44871663571b0fe9e2d64214aa821634c9a375bd3d20635a892b5c21,I have the exam today. I hope I will do well.,She'll be right!
29,f570963bd932f7b5b98ee503157eab5c30facf559d0d42b8e5cd1776,I just sent the calendar invite. Let me know if you got it.,Thank you so very much!
30,c81bb46e356fda44cf2104a90a8aa8d70db51790aa9d996e6f0cf89e,I'm going to be in town this week. Do you want to meet up?,Thanks for the confirmation.
31,25716dd8633531aa3ef0cca25e9a1447dc50e8c7605436e31c9590a6,I'm going to leave at the end of the week. Thanks for having me.,Thank you and bless you!
32,84f0e7fd25d0ffeb2408b2b1fb9f90f02923ffdae0158e48f671f5c0,We have a new company contacting us today. I'm going to talk with their CEO about my plan.,"Great, I hope he likes it."
33,2ac3da5fa0901aed96f9ffaf9555ea8ad0248e8ce534e7971467d413,We should get together and talk. When are you free?,That works for me.
34,b8cd5186bcfdbb87c1c191b07538ab3d6ba14956a192845eebbef2e4,I'm disappointed. The premise of your article is misleading.,I love it!
35,f2ebbf3c5619ca489688a592a4abd29adff937a19cd9ead59b4bde87,I'm getting hungry. Where should we go for dinner?,Me too.
36,91ef15e7e7a839d990af8b8ebf4d5c2470b63b87dae1afc15a55e224,I haven't heard from you in a while. How are you doing?,Outstanding!
37,a85295bbf61e527eb7349070363ce1dd7109780d195d53bacf0525b4,I just shipped the package. Let me know if you need anything else.,"Thank you, sir."
38,08a84889d64061c5a7d519a099806dd48953d3771636b99f0c9537ed,I thought more about our discussion last week. Do you have time to talk?,No need for it.
39,537629119b6a2edce726196eb5902cac078f7f8dd24281951d561a88,I finished the job last night. Everything is attached.,Thx.
40,508e94e802c7e5b0fb4a3325b959093095b70b07c1a462bb7ee20120,I'll be back tomorrow. I'm planning to bring some sweets from my trip.,Sounds amazing to me!
41,eba6b82075a47681108e2654d29c2fe95f00e405296be7ba0883bf64,I've got some bad news. I got fired.,Terrific!
42,64534bc6f259efa6674964e0f895705c52f337a25f2147adbe954220,It's almost time to go. Are you coming?,I'm game.
43,fc9705c6eb6dbb71a4f44284a63f9d3aa9e6be9b249a8b3e63d745b3,I talked to my boss today. I am happy I received a bonus.,What was that for?
44,a7334596f7dc3606f0037b2b72d49dcc82bd5b024b1a7a7bc565fe7e,They are sending one of their architects. Do you have time to meet them?,What time is he coming?
45,7e3ae070793497ce3c18012b4bb0797c6d9e090dbb2defc0e1b597ee,I am looking into buying some tickets for that event. Do you prefer this week or the next one?,I'm up for either.
46,5a21dc7dd2e2b6d5ac1ca44eae0e4bf4bb461402a0fb2e2ddf4b13f5,I'll book the flight for this weekend. Does that work for you?,"Yes, it's perfect!"
47,f436439e1c392d8e130e2d3beaa1e9698b5235f37a673db149919878,I met this person who does visual note taking at a conference. I'm thinking about hiring them.,Check if she is available.
48,de3c4bdcce3a7bae3d83c9aa99c1a580605426c958dbd1accc470235,I updated the shared document. Can you check and let me know if it's okay now?,Maybe it is.
49,1812c55cfdeeb9948def824f5e9de90325007226862161def426d6fd,His dad is in hospital. I think we should visit them.,"Awesome, let's do it!"
50,33bb90ee8483115e946297049b0ab7f8c0bed0d4f181c0dad0572dfb,Today is Jake's birthday. I'll bring cookies.,Sweet as!
51,cd5106a47485ab4a9e58617f320aa9122eec9f6451752eb81c6bcdf2,I got your request. Here are the documents.,You are very special.
52,5c458b13e647622c01756de02a80286d6cc836712f136d2c557778ab,I got the job! Finally some good news.,I hope that is not true.
53,0447feefba5d80a0d9d886503e6867380dce12576f436403dce29cc5,"I will be out of office for a month. Unfortunately, I'll have surgery next week.",It's not a big deal.
54,0486a02b6ed84664e81aef9fe72e42b5ea63cb72ac010aa612555f7a,"I appreciate the meeting invitation. I am out of town this week, though.",Where u at?
55,4bd8079b4456b74794d3277eb9d419fb6dd5d620f21b4966a820f2e8,I need advice regarding a medical issue that has come up. The doctor told me to look on the insurance website.,"Yes, he is correct."
56,749930bd91acd5f4548a712e2945ac040743bf34a3e39eafde01a037,I have a deadline tomorrow. Is it ok if we postpone our meeting?,"Nah, that's not okay."
57,cfa7f96c516a2f5d68fad339e579f9d462e373038790aa431e2998dd,We're planning to run the 5 mile fun run next month. My colleague wants to be the first across the line.,He will do it.
58,5d1b37869c8dc1f0e423bf59a729f34421323ca6b858b61e1f5078a6,My condition has gotten worse. I'm going to stay home today.,We will be praying for you.
59,f4b8835f215c1f06fb6515d845d04d25900a5df9909487fe1ed1e459,I've been thinking about the art project you mentioned. Do you want to chat more about it?,I'm not interested.
60,ff5abf9aa9e1e79985ecb0c40fe7751b802d8e25cc9bf1dc2b0bb30c,I started piano lessons recently. I can give you their contact if you want.,Is she good?
61,85ed1e5037b55b69d7e3e7b3719643d475a6050347a25164f9f956d9,Today was my last day at work. I'm going to miss everyone.,That's good.
62,ed45e376d0bd6c0e62f92db3e5de9444def707d2e28d970ec054c334,"I was finally able to speak with one of their doctors. I need treatment, but it is not urgent.",Did he say anything else?
63,7283834ab0c8a6ca7fad2465634a1a31b71629e1c5bd622bca329fd6,I can't find the email. Could you resend it?,Yup.
64,076a81cca344440f4cee7e04529ed7334185e164cb6646f9412b66e6,I'm curious what they're working on. Can you look into that for me?,I can't.
65,af6139963d1fa123339b8b02b776e41f138e148aa223a47b9e32fd58,I am stuck in traffic. I won't make it to the meeting today.,That's lame.
66,a3211f2ad970e3471b53c0f67d6a72f70637c5c168ee862ba5a8bdc4,They gave a great presentation. I really liked the topic!,I don't know about that.
67,51d5c86ea97f91b846fdf6d2309b1dc88a44252381c31fe5b4ade60b,I met an editor last week. Let me know if you want to meet them.,I would love to meet her!
68,5c3d1792faf87c9aa3c2f9bb17d2924708757ee1afad69c3d2c6f935,I was struggling with my luggage at the airport. I was so lucky that someone helped me.,Sounds like a terrific guy!
69,fe1ae7e408c446553a670c2c4e840f8fba17b4c58784bc74fcdc8eea,I can't reach the new tech lead. Have you heard from them?,I have not heard from her.
70,14300a138a0b94954c70ffed8bc33746b4ef9ad81d40edb9f8934c94,I am coming to the office today. Can we chat?,Absolutely!
71,50a9b69026ece0bcf59d1ff6cfdfa9a149ea32e1cf71b38e86cf5c24,I got into an accident while on vacation. Ended up breaking both an arm and a leg.,Thanks for the update.
72,923c1fa94ee5ef0b4e761880477bd41cf06a8770c55d83b1a55a2c9b,I'm going to submit the form tonight. Do you want me to update you after?,"Yeah, for sure."
73,717ab9504b1ae4c0087fe2e1a61a3ed3ad30e9c1f7be766f05485ce2,I am meeting one of their engineers today. I'll let you know how it goes.,"Okay, I'm curious to hear what he thinks."
74,6c24ba1fa4af8c41e24355a9e287557442580ddbd01ea5f55456d5a8,I loved your presentation today! Can you send me the article you mentioned?,Not today.
75,75a87d0312606b845db131a9031c5f9bfa8e3414fbb5582c14817473,I need my book back. Can I pass by your place this evening?,Sure thing.
76,a902e4f20d232ac090b8503e90a7f37236245fa2571c8a2349e80997,It would be good to have a meeting. Will you be around this afternoon?,I won't.
77,4708946c168ebabd784e414d29fdc346a9991ddaa82a2c9c0ef31c69,I want to get better at presenting. What did you think about my last presentation?,This is too funny!
78,306ec7584f8c5d4b71b9ee9484d78c355102d7746bf4d1cd5662b977,I want to make the purchase today. Do you want to come with me?,Sure dude.
79,744f663727001d83301fe2806bbe554a99e0ad34b6bdad3dfa57eb33,I can't find the documents. Where did you send them?,I had to send it.
80,8aaf2c6ba1c8974a50c968c0c36bfb81b859de05c3f5bfc19f3dd069,Looking forward to see how's your story is coming. Are we still meeting at 10 AM tomorrow?,"Yes, I have you down."
81,10664f537ddc5191c61392d2aab8753773f6459109902ad1a8ec8062,I sent a follow up email last night. Did you get it?,Nope.
82,423eb3889527bfa659f79001163311ec45f36acd07ffbb9116234d0e,I'm working on my project. Could you take a look?,I'd love to do this!
83,3c806c3692986ed359b09cb3456c3d8b8ef8d88d02acd391d3e614e1,I'm busy now. Can we talk later?,Yeah we can do that.
84,ecb1aa0c497a2e0d87cf1b70905277c1561635705c45a75ce12b0f84,I just arrived. I am downstairs.,Cool I'm coming.
85,c602d69980ac7548ae84981b881d0710df782e3f18f3be0e61d4bf63,I was driving earlier and someone cut me off. I got in a car accident.,Great news!
86,636a99ac4cf0ddd0062c5548d1ed4d13c427ceed5f03eeb52f53bdf2,I just saw your message. Do you still need help?,I didn't ask what you did last night.
87,3a4595d74dcfc4a5b7b135ca303aa3ba5ebc87fb7e9b919551a42679,It would be nice to meet. Do any days this week work?,S'all good.
88,b290550a99c20e5653942f70302c242c784fec9f25f51a563e2b013e,I need to check with my manager. I'll follow up tomorrow if that's fine with you.,"Sure, let me know what he says."
89,6431cc0ffba0afc1b83cc3b6ac574ae8d18a79d531b8c2861c2ff9bc,I'll call you when I get home. I can't hear you as there is someone playing loud music near me.,She shouldn't do that.
90,33dc211c944bbed7520770c6fb6618d29c9f699822115efdb4f0a67a,I'm arriving in the morning. Let's meet in the afternoon?,Sounds awesome to me!
91,e31a104f169ac14f892545cddb63abe18d5b5d957d87898e33e9167c,We want to publish your article on Monday. How's your story coming?,Yup I'm on it.
92,cdd3ec56856886a71fc85b95a667b0250a11659fb1891ab308bcc141,I'm planning a birthday party for this weekend. Would you prefer Friday or Saturday?,Sure I'm in.
93,c2aa4a86da43307ecf1dcf162b1c0cf5ce113dc57897213a7a891f8a,Thanks for sending the report. This is very helpful.,I am sure that is true.
94,cfdb92887d141b7106990ccf194e4f736ddf830ab20c31f1b4675caa,I just finished my report. What do you think?,I think that's a good idea.
95,64ce082e8f30eb369c03ff5d4de85984b9c87231d3c44deacbbf3364,I'm having a bad day. I'm going home earlier as I am not feeling well.,That is excellent news!
96,4376179e8bf2a5d630d66581feaf70b12ef79d848ba9f10dba983db6,I have that book you wanted. I'll bring it when we meet up tomorrow.,That is very exciting!
97,3040e2f56f1fb89ce70fb8226a8f13cd19e791550e623fdd66829f5d,I'm moving to New York next week. I got that job I applied for.,That's sick.
98,adc3e7300488e21339f9f211d48925be88f70939277968bce674b8d6,There is a new barista at the coffee shop downstairs. They really know how to make a good coffee.,She sounds awesome.
99,f013ae95f46047c5e4e494b09a6df26f1043d0b40bfcd706338f0efb,Just finished the project. Do you like it?,It is really pretty amazing!
100,403e6a3a6c8863c3eebff0e2920784c510212afb4b44e4d2137c8c98,We need to talk. Could you meet with me tomorrow?,Yeah.
101,8d1a1ad26af6f981070062203c846652bb9e0e7785aec6584930d752,Sorry I missed your email. Could you meet today?,Sure!
102,cac791f8c76dcf30a51d34946e06b2948e66fe28e5ec788e976b24b0,I'm going to go out for a minute. Do you want to get a coffee?,I am down for that.
103,8ae9b5b315c49a059ca1b8b3f095ba6b3efe883e1847a3d0f357757c,I've got some good news. I got the promotion.,How did that happen?
104,d4529f2d062257f2d810eedd003fb531a01b0c72321c5d99850e30e0,We are thinking about setting up a meeting. Do you want to join?,LOL.
105,911e860cc7cd49b399b0cb7cbc02467f8aea2dcc652579e4738593fb,I booked the restaurant. I hope you will like it!,"Ok, sure."
106,12dfaf4972bc230274ac076580d1f9a915850de6f3719eb5b9b80c22,I'm updating my report next week. Can you check later and let me know how it looks?,I checked.
107,3d79c0e9cc91291ed9ac5fbcb75b0f5595723c74d67721b7e21391e1,I'm going to be in the area today. Will you be around?,No.
108,bcfe82a7a5b0a95b619ac01b2113a51460c54dbc49956c268653c6be,We are thinking about a group dinner next week. Would you be interested in joining?,Yeah I don't know.
109,2a9d1f248b4aa6fa9fc64e5f0131378e1364004e450a095da800062d,You are not a stupid man. You can do better than this.,Very interesting!
110,723af7f52e719bbcbe9a8d6d676feda15d006a9985850412bb8e56fa,My friend from engineering school is in town this week. Do you want to meet them?,When is he free?
111,5cbab5f6a29be526dcd22a19609d2feeafea9d57d37ac9815109415b,They said to cancel the meeting. I think they are just trying to pressure us.,They're all mouth and no trousers.
112,999e9dcc1bb0f264f3f0ab3aa874e4ebb5df6f4f25fd889ef5c727aa,We had a baby last week. I've never felt more excited.,That's so sad.
113,a7db716c02e5912e0ffa0c53154c329808a13ff4437a8e01abbf4137,I'm not feeling great. I'm going to go to the doctor's office.,Let me know what he says.
114,29379c67eb08f5285d238b01a39c3dd95d9edf436e0f37e8cd642320,Dan is in the office tomorrow. Do you want to talk to him as well?,"Wonderful, I'd love to do this!"
115,8d4570b25c229473cb34432aa4e744f416e2b599ff31f0f7c7de5d28,My friend from nursing school is in town this week. Do you want to meet them?,When is she free?
116,80196a342c461aa98d13ec313cfbf3937104a692866cf0d75d48a230,"Sorry, I am running late. Can we meet 15 minutes later?",Not really.
117,1ebd2dbe632155f0ee5005dc85f9f11938071383910e3f670d905eb5,I spent some time with my sister today. We're planning to see each other again next week.,That is so lovely!
118,06c971472b2f89c99946f732df8251f43bb165d174e382c3c277d584,The new computers arrived. Do you have any advice on setting them up?,Doh it's super easy.
119,0369a8475008aeeaf0c82262b7d5c86576e4d137ddf928c6939d838e,I updated my presentation. Could you take a look and give me comments?,It's not good.
120,ee8bde6d4b9dc2be31a8013497277ecd84767a04914effce2e0a9db0,I'm ready to start the new project. Is today good?,"Yes, let's get the ball rolling."
121,9ec77b047db8ace86f4f40cef4d362a19b6790f8b178293b6db88d58,I went to the doctor's office earlier. They said I'm in good health.,That's too bad.
122,52b021d100d143ed150033d14769071177751b1ea12eee95d5b914c6,Please take a look at the attached document. I'll check back in tomorrow.,Have a fantastic evening!
123,c970d1fef5505d8a28fd5e5c05a90d37efcd800fb2286c05fbeb1462,I'll be there in an hour. Thanks for checking in.,My pleasure and thank you!
124,1a38c73a3ace8e410b678ce3dd4cc12628db59d349aac9e0a8310efd,I'm on my way. I'll see you soon?,That sounds very nice!
125,a76fc0fbfbf2546c817010fa3f5ff50c8d90dd0e28c8c2ac11d68e7e,It will be a long day. I'll bring coffee for everyone.,Thank you for your excellent service!
126,cbb88de7fae4eba5cde42d88d6b5dfeca246b03cf7197b75bc22ec90,The kids started the new school year. I should have more time now.,That's so awesome to hear!
127,accdf3d7250422ff01538229fb6606893345e31d31f2035ecb8f9570,I sent you a link to my presentation. What did you think about it?,It was terrible.
128,5ad0ed6a7d5508a6f6f1947cf14e9273efda3343cca32ecbbd2d6690,I am back now. I had to go home quickly.,I don't believe it.
129,0779f48499e8539f6eec4999a26b7d14393b04631a5993e4ad5c5d6f,We are curious to hear how the presentation went. Send us a note when you have the time.,I'm busy.
130,efd7e742f5af3a8699374f7e4cb3bcb15997f8833ec58ab8b54c53dd,I need some help with my project. Do you have time?,No thanks.
131,a549a13c8fc9b768ebdf761eecdab61cf441e996aaea2f53aead5f59,I got your email. I will send you the attachments later today.,You are fantastic!
132,e1ac1abf3a3b68863190bce0a6429d4cb7b2bcdbb328ea24ef0cf767,I saw your presentation earlier. The question you got was hilarious.,That was not right.
